date,avgReturn,avgPrecision_UP,avgPrecision_DOWN,avgPrecisionIgnoreEqual_UP,avgPrecisionIgnoreEqual_DOWN,Accuracy,AccuracyIngoreEqual,avgImprovedPrecision_UP,avgImprovedPrecision_DOWN,avgImprovedPrecisionIgnoreEqual_UP,avgImprovedPrecisionIgnoreEqual_DOWN,ImprovedAccuracy,ImprovedAccuracyIngoreEqual
2016-05-09,0.01564,NA,NA,NA,NA,0.77662,NA,NA,NA,NA,NA,0.00000,NA
2016-05-11,0.04234,0.31125,0.40194,0.44433,0.57340,0.41315,0.51461,0.44645,0.58513,0.44645,0.58513,0.31440,0.52245
2016-05-12,0.01051,0.29781,0.36276,0.44809,0.56432,0.36675,0.50446,0.44634,0.55907,0.44634,0.55907,0.28987,0.50081
2016-05-13,0.02262,0.25166,0.34947,0.41869,0.58273,0.34596,0.49028,0.45255,0.55416,0.45255,0.55416,0.28560,0.49266
2016-05-16,0.00647,0.32025,0.29933,0.53428,0.51097,0.27543,0.49753,0.50147,0.50895,0.50147,0.50895,0.28247,0.49475
2016-05-17,0.02472,0.28471,0.34847,0.43538,0.56544,0.31791,0.48576,0.43262,0.60105,0.43262,0.60105,0.32412,0.49291
2016-05-18,0.03140,0.31574,0.33391,0.47779,0.53259,0.35721,0.50010,0.45528,0.58161,0.45528,0.58161,0.35775,0.51637
2016-05-19,0.01010,0.30812,0.35536,0.48407,0.55244,0.31686,0.49033,0.47937,0.55932,0.47937,0.55932,0.37363,0.49170
2016-05-20,0.02801,0.29385,0.26138,0.50859,0.49011,0.30640,0.49052,0.47252,0.51024,0.47252,0.51024,0.24103,0.48263
2016-05-23,0.00909,0.25660,0.29120,0.46799,0.52539,0.31786,0.49991,0.44105,0.53127,0.44105,0.53127,0.24719,0.49183
2016-05-26,0.02207,0.29328,0.28527,0.47268,0.55396,0.31314,0.48477,0.45028,0.58136,0.45028,0.58136,0.32083,0.51108
2016-06-01,0.00686,0.27821,0.29348,0.48170,0.52271,0.30569,0.49499,0.48443,0.54375,0.48443,0.54375,0.28234,0.49174
2016-06-02,0.00727,0.27377,0.29642,0.47868,0.52346,0.32380,0.49170,0.48030,0.54182,0.48030,0.54182,0.28371,0.50523
2016-06-03,0.00836,0.27672,0.29760,0.48896,0.57636,0.32754,0.51711,0.47533,0.54171,0.47533,0.54171,0.32541,0.49603
2016-06-07,0.01540,0.26005,0.27059,0.48205,0.52799,0.29839,0.48184,0.48619,0.55107,0.48619,0.55107,0.25268,0.49093
2016-06-08,0.01257,0.26082,0.25126,0.45455,0.52504,0.30786,0.48616,0.45628,0.57016,0.45628,0.57016,0.27427,0.50471
2016-06-10,0.02252,0.23760,0.28286,0.45035,0.52846,0.28161,0.48894,0.44653,0.54970,0.44653,0.54970,0.31796,0.49340
2016-06-13,0.02237,0.23753,0.29119,0.44147,0.56541,0.29021,0.49242,0.44972,0.58986,0.44972,0.58986,0.35419,0.50417
2016-06-14,0.01198,0.26403,0.29483,0.46186,0.55169,0.28098,0.49715,0.42231,0.55691,0.42231,0.55691,0.33825,0.49331
2016-06-15,0.01065,0.24431,0.28568,0.46595,0.52626,0.29275,0.49268,0.46123,0.53104,0.46123,0.53104,0.34244,0.51002
2016-06-17,0.01431,0.27069,0.29695,0.48844,0.57109,0.27505,0.50277,0.45609,0.58734,0.45609,0.58734,0.33745,0.50185
