company,return,Precision_UP,Precision_DOWN,PrecisionIgnoreEqual_UP,PrecisionIgnoreEqual_DOWN,Accuracy,AccuracyIngoreEqual,ImprovedPrecision_UP,ImprovedPrecision_DOWN,ImprovedPrecisionIgnoreEqual_UP,ImprovedPrecisionIgnoreEqual_DOWN,ImprovedAccuracy,ImprovedAccuracyIngoreEqual
AAPL,-0.00544,0.46872,0.53358,0.50543,0.58606,0.18997,0.50822,0.50254,0.51207,0.50254,0.51207,0.06737,0.50286
ACOR,1.28844,0.36557,0.43182,0.47594,0.53360,0.40443,0.50315,0.45516,0.58223,0.45516,0.58223,0.35343,0.51687
ALSK,0.94353,0.02248,0.02536,0.45056,0.56355,0.02331,0.48075,0.44622,0.53691,0.44622,0.53691,0.46928,0.46928
AUDC,2.09118,0.06318,0.07883,0.49162,0.51076,0.07112,0.50220,0.45727,0.50923,0.45727,0.50923,0.48525,0.48525
CERN,0.22126,0.42315,0.42585,0.48637,0.49113,0.31586,0.49049,0.48777,0.51645,0.48777,0.51645,0.21767,0.51287
CGEN,0.63186,0.12343,0.15002,0.44773,0.57894,0.22224,0.46070,0.43166,0.55150,0.43166,0.55150,0.41933,0.44412
CMPR,0.87566,0.24826,0.57289,0.35845,0.66865,0.34940,0.36350,0.32752,0.66442,0.32752,0.66442,0.16317,0.33293
CSCO,0.12590,0.36642,0.32238,0.51992,0.48688,0.42173,0.50311,0.51635,0.49927,0.51635,0.49927,0.33543,0.50825
CSTE,1.50938,0.35137,0.44317,0.45307,0.55575,0.38481,0.49835,0.43102,0.60368,0.43102,0.60368,0.28433,0.50953
CTSH,0.00823,0.44680,0.43504,0.50970,0.50641,0.31857,0.50644,0.51094,0.50827,0.51094,0.50827,0.20580,0.50830
EA,0.01631,0.45301,0.45861,0.49381,0.50527,0.24040,0.50259,0.47630,0.51916,0.47630,0.51916,0.13070,0.50879
EBAY,0.01351,0.30773,0.33616,0.48832,0.50825,0.43168,0.50533,0.49387,0.52173,0.49387,0.52173,0.23796,0.51786
