company,return,Precision_UP,Precision_DOWN,PrecisionIgnoreEqual_UP,PrecisionIgnoreEqual_DOWN,Accuracy,AccuracyIngoreEqual,ImprovedPrecision_UP,ImprovedPrecision_DOWN,ImprovedPrecisionIgnoreEqual_UP,ImprovedPrecisionIgnoreEqual_DOWN,ImprovedAccuracy,ImprovedAccuracyIngoreEqual
AAPL,0.07760,0.42821,0.44133,0.49535,0.50525,0.41231,0.49921,0.50680,0.50579,0.50680,0.50579,0.45787,0.50641
ACOR,1.27958,0.33135,0.40132,0.48511,0.53624,0.37687,0.51260,0.47635,0.57991,0.47635,0.57991,0.51973,0.53380
ALSK,0.39579,0.02290,0.02982,0.51830,0.56795,0.07871,0.55839,0.48979,0.56133,0.48979,0.56133,0.51125,0.54922
AUDC,2.10812,0.06547,0.07518,0.49877,0.51177,0.12107,0.50815,0.44503,0.51451,0.44503,0.51451,0.46784,0.49521
CERN,0.59676,0.35547,0.41208,0.49211,0.49792,0.40318,0.49686,0.50164,0.51415,0.50164,0.51415,0.48719,0.51199
CGEN,0.53166,0.12066,0.13153,0.45715,0.57565,0.16386,0.49157,0.45118,0.59253,0.45118,0.59253,0.47084,0.49334
CMPR,0.90383,0.23598,0.44537,0.37453,0.70297,0.24866,0.38381,0.34768,0.70788,0.34768,0.70788,0.35421,0.35822
CSCO,0.10490,0.28992,0.30351,0.51691,0.49395,0.31595,0.49939,0.52716,0.50022,0.52716,0.50022,0.48798,0.50631
CSTE,1.54918,0.32595,0.41093,0.46069,0.55453,0.36967,0.49538,0.45176,0.61162,0.45176,0.61162,0.49204,0.51244
CTSH,0.35977,0.39540,0.40399,0.51002,0.50660,0.40047,0.50730,0.49817,0.50827,0.49817,0.50827,0.46841,0.50632
EA,0.18167,0.43614,0.43307,0.50061,0.50709,0.43006,0.50529,0.48944,0.51708,0.48944,0.51708,0.48326,0.50953
EBAY,0.35786,0.28115,0.30516,0.49981,0.51775,0.31603,0.50970,0.53854,0.54261,0.53854,0.54261,0.50259,0.54086
ELNK,0.93195,0.12687,0.11192,0.54092,0.56934,0.14604,0.55057,0.56509,0.61367,0.56509,0.61367,0.57070,0.58174
EYES,-0.20328,0.12437,0.15440,0.44612,0.55537,0.18970,0.52137,0.45795,0.55733,0.45795,0.55733,0.49483,0.52763
FCS,0.06635,0.02922,0.03008,0.52372,0.57872,0.07268,0.54046,0.54334,0.58095,0.54334,0.58095,0.53758,0.55490
GNCMA,1.11529,0.23432,0.29957,0.45431,0.58971,0.25670,0.47329,0.46409,0.63539,0.46409,0.63539,0.47566,0.48809
GOOG,0.13511,0.43790,0.48155,0.47681,0.52608,0.45557,0.50361,0.40262,0.61110,0.40262,0.61110,0.49097,0.51569
HEAR,0.89581,0.03856,0.04328,0.45771,0.55185,0.07515,0.53134,0.49068,0.55334,0.49068,0.55334,0.52274,0.53921
