date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-11,0.08296,0.19121,0.51443,0.58759,0.48557,0.35462,0.75186,0.61685,0.50838
2016-05-12,0.18488,0.43002,0.47142,0.53442,0.56191,0.52772,0.59508,0.54428,0.57894
2016-05-13,0.01264,0.41884,0.40397,0.45197,0.71976,0.64516,0.56612,0.46109,0.73493
2016-05-16,-0.01050,0.48291,0.43973,0.59550,0.59696,0.63473,0.59696,0.61449,0.61755
2016-05-17,0.03125,0.37697,0.49451,0.45265,0.58755,0.47233,0.60148,0.47047,0.60326
2016-05-18,0.00639,0.41040,0.31348,0.45222,0.68060,0.64253,0.52339,0.46557,0.69379
2016-05-19,0.14451,0.42076,0.48007,0.38372,0.72011,0.56204,0.57845,0.39086,0.73293
2016-05-20,0.12916,0.46866,0.45660,0.63093,0.48207,0.59143,0.55504,0.64918,0.49387
2016-05-23,0.02715,0.41176,0.40728,0.59175,0.54788,0.60167,0.57476,0.61194,0.56422
2016-05-26,0.12281,0.31092,0.40248,0.51929,0.45116,0.46322,0.52717,0.53141,0.45899
2016-06-01,0.01242,0.42316,0.38556,0.59324,0.48455,0.58945,0.51120,0.60591,0.49409
2016-06-02,0.02929,0.31593,0.47735,0.70700,0.43354,0.48970,0.67990,0.72077,0.44122
2016-06-03,0.04323,0.40533,0.38022,0.42065,0.64516,0.61172,0.48076,0.43603,0.65359
2016-06-07,0.03393,0.29434,0.45050,0.69144,0.35509,0.44172,0.64450,0.71395,0.36497
2016-06-08,0.04106,0.36012,0.41698,0.69822,0.43991,0.57374,0.60335,0.71370,0.45093
2016-06-10,0.00697,0.43586,0.50064,0.58421,0.62261,0.60326,0.63888,0.60108,0.64098
2016-06-13,0.11658,0.30200,0.48225,0.41263,0.66189,0.47804,0.63461,0.42424,0.68343
2016-06-14,-0.00141,0.34228,0.46107,0.50000,0.56617,0.46961,0.60917,0.50796,0.57206
2016-06-15,0.00141,0.42556,0.39494,0.48345,0.72541,0.65586,0.59242,0.49436,0.73913
2016-06-17,0.01197,0.41582,0.45533,0.47847,0.61200,0.53125,0.58461,0.49317,0.62109
2016-06-20,0.00445,0.32054,0.48921,0.53383,0.51416,0.46329,0.60499,0.54510,0.52456
2016-06-22,0.01621,0.41298,0.54723,0.56736,0.60188,0.51819,0.67168,0.57833,0.61602
2016-06-27,0.01104,0.52278,0.53781,0.33447,0.83009,0.63517,0.63618,0.34759,0.85106
2016-06-28,0.01969,0.40937,0.48545,0.42258,0.73668,0.61214,0.58383,0.43163,0.74461
2016-06-29,0.00767,0.38949,0.39793,0.57581,0.55098,0.57999,0.58223,0.59074,0.57142
2016-07-01,0.01024,0.41202,0.41242,0.48281,0.65295,0.60822,0.56414,0.49911,0.66849
2016-07-05,0.07304,0.46869,0.48880,0.46536,0.74370,0.62529,0.64441,0.48608,0.76176
2016-07-06,0.01078,0.49525,0.42250,0.50402,0.72542,0.67311,0.59776,0.52079,0.73793
2016-07-18,0.00131,0.51020,0.33333,0.40000,0.57499,0.63291,0.38983,0.40983,0.61333
2016-07-21,0.01112,0.36848,0.46317,0.63727,0.50385,0.51125,0.66060,0.65432,0.51822
2016-07-22,-0.00178,0.38322,0.43705,0.67224,0.40165,0.53815,0.57995,0.69550,0.41326
2016-07-25,0.00414,0.39713,0.34959,0.57392,0.48134,0.57945,0.51394,0.59669,0.49615
2016-07-26,0.05880,0.31356,0.42011,0.49371,0.62562,0.57291,0.58294,0.50551,0.64716
2016-07-27,0.01851,0.38623,0.38288,0.44000,0.63250,0.58760,0.51659,0.45081,0.64972
2016-07-28,0.01018,0.29070,0.38622,0.52813,0.44482,0.48907,0.51089,0.54089,0.45907
2016-08-02,0.07229,0.37926,0.47114,0.52737,0.62893,0.57341,0.62500,0.54631,0.65040
2016-08-15,0.00495,0.28807,0.46305,0.73230,0.28571,0.43042,0.65277,0.76798,0.30031
2016-08-16,-0.00051,0.40506,0.42735,0.39024,0.59523,0.49230,0.51546,0.40506,0.60240
2016-08-26,0.01841,0.39763,0.53341,0.44988,0.69572,0.53157,0.65133,0.46224,0.71150
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00335,0.36513,0.45569,0.51990,0.61480,0.53883,0.62548,0.53365,0.63035
2016-09-02,0.00620,0.37883,0.46287,0.56666,0.51950,0.51612,0.59191,0.57383,0.53467
