date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-26,0.03932,0.00000,0.03614,NaN,1.00000,NaN,1.00000,NaN,1.00000
2016-06-01,0.03243,0.04965,0.05506,0.71830,0.46268,0.58620,0.60784,0.71830,0.46268
2016-06-02,0.06282,0.02502,0.03896,0.87878,0.47727,0.55769,0.83999,0.87878,0.47727
2016-06-03,0.04926,0.01903,0.03333,0.78947,0.36842,0.55555,0.63636,0.78947,0.36842
2016-06-07,-0.07512,0.04195,0.07119,0.60869,0.51807,0.51219,0.61428,0.60869,0.51807
2016-06-08,-0.01523,0.01942,0.02586,0.79166,0.29999,0.35185,0.75000,0.79166,0.29999
2016-06-10,0.06701,0.02319,0.03171,0.90000,0.42857,0.57446,0.83333,0.90000,0.42857
2016-06-13,0.00000,0.02651,0.01278,0.89743,0.09803,0.43209,0.55555,0.89743,0.09803
2016-06-14,0.07246,0.02065,0.01837,0.96296,0.12068,0.33766,0.87500,0.96296,0.12068
2016-06-15,0.07207,0.02244,0.02742,0.84375,0.40625,0.58695,0.72222,0.84375,0.40625
2016-06-17,-0.01261,0.00482,0.00694,1.00000,0.13636,0.23999,1.00000,1.00000,0.13636
2016-06-20,0.04255,0.02746,0.01949,0.84210,0.18518,0.42105,0.62500,0.84210,0.18518
2016-06-22,0.03265,0.01259,0.02968,0.65217,0.31707,0.34883,0.61904,0.65217,0.31707
2016-06-27,0.02371,0.07789,0.07352,0.83458,0.10489,0.46443,0.40540,0.83458,0.10489
2016-06-28,0.03474,0.01937,0.01904,0.73529,0.21621,0.46296,0.47058,0.73529,0.21621
2016-06-29,0.03358,0.02194,0.03067,0.72222,0.41666,0.55319,0.59999,0.72222,0.41666
2016-07-01,0.01083,0.01385,0.00614,0.76190,0.13636,0.45714,0.37500,0.76190,0.13636
2016-07-05,-0.00358,0.02395,0.00802,0.68888,0.06521,0.41891,0.17647,0.68888,0.06521
2016-07-06,0.01792,0.03204,0.06686,0.86274,0.29487,0.44444,0.76666,0.86274,0.29487
2016-07-18,0.00000,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
2016-07-21,0.00704,0.01777,0.02027,1.00000,0.40000,0.51351,1.00000,1.00000,0.40000
2016-07-22,0.01748,0.01404,0.03290,0.76190,0.58064,0.55172,0.78260,0.76190,0.58064
2016-07-25,0.03092,0.01379,0.02952,0.80952,0.46875,0.50000,0.78947,0.80952,0.46875
2016-07-26,0.03666,0.02154,0.02298,0.78378,0.38709,0.60416,0.59999,0.78378,0.38709
2016-07-27,0.02572,0.02008,0.04192,0.65789,0.40816,0.46296,0.60606,0.65789,0.40816
2016-07-28,0.03134,0.02337,0.03539,0.59999,0.39215,0.46551,0.52631,0.59999,0.39215
2016-08-02,0.02127,0.02755,0.03433,0.87179,0.25396,0.41975,0.76190,0.87179,0.25396
2016-08-15,0.08035,0.01350,0.00000,0.77272,0.00000,0.56666,0.00000,0.77272,0.00000
2016-08-16,0.00000,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
2016-08-26,0.07988,0.01614,0.01533,0.73913,0.12500,0.32692,0.45454,0.73913,0.12500
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.05867,0.01956,0.02200,0.70370,0.37500,0.55882,0.52941,0.70370,0.37500
2016-09-02,0.00481,0.04799,0.03200,0.81666,0.24489,0.56976,0.52173,0.81666,0.24489
2016-09-12,0.03357,0.01953,0.01294,1.00000,0.09523,0.40625,1.00000,1.00000,0.09523
