date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-09,0.00577,NaN,NaN,0.00000,0.00000,NaN,NaN,NaN,NaN
2016-05-11,0.00065,0.43119,0.52296,0.19222,0.23987,0.49214,0.60408,0.49214,0.60408
2016-05-12,0.00000,NaN,0.48510,0.00000,0.37315,NaN,0.54545,0.00000,1.00000
2016-05-13,0.00000,NaN,0.42592,0.00000,0.33740,NaN,0.52272,0.00000,1.00000
2016-05-16,0.00000,NaN,0.39591,0.00000,0.28613,NaN,0.48743,0.00000,1.00000
2016-05-17,0.00000,NaN,0.38599,0.00000,0.42951,NaN,0.43750,0.00000,1.00000
2016-05-18,0.00000,NaN,0.45792,0.00000,0.50546,NaN,0.50964,0.00000,1.00000
2016-05-19,0.00049,0.66666,0.41217,0.00269,0.61549,1.00000,0.45235,0.00398,1.00000
2016-05-20,0.00000,NaN,0.31674,0.00000,0.14736,NaN,0.37634,0.00000,1.00000
2016-05-23,0.00000,NaN,0.40495,0.00000,0.19215,NaN,0.52406,0.00000,1.00000
2016-05-26,0.00000,1.00000,0.47084,0.00175,0.31548,1.00000,0.55470,0.00568,1.00000
2016-06-01,0.00000,NaN,0.38181,0.00000,0.18260,NaN,0.45454,0.00000,1.00000
2016-06-02,0.00000,NaN,0.41355,0.00000,0.22718,NaN,0.48031,0.00000,1.00000
2016-06-03,0.00000,NaN,0.54362,0.00000,0.34913,NaN,0.60223,0.00000,1.00000
2016-06-07,0.00000,NaN,0.44588,0.00000,0.17667,NaN,0.50990,0.00000,1.00000
2016-06-08,0.00000,NaN,0.41237,0.00000,0.25695,NaN,0.49382,0.00000,1.00000
2016-06-10,0.00000,NaN,0.48501,0.00000,0.35528,NaN,0.55818,0.00000,1.00000
2016-06-13,0.00000,NaN,0.45042,0.00000,0.37482,NaN,0.53174,0.00000,1.00000
2016-06-14,0.00000,0.75000,0.43129,0.00455,0.49764,0.75000,0.50719,0.00964,0.99685
2016-06-15,-0.00033,0.00000,0.50522,0.00000,0.35452,0.00000,0.59426,0.00000,0.99656
2016-06-17,0.00081,1.00000,0.43917,0.00145,0.41369,1.00000,0.50271,0.00362,1.00000
2016-06-20,0.00000,NaN,0.46004,0.00000,0.32078,NaN,0.52592,0.00000,1.00000
2016-06-22,0.00000,NaN,0.33568,0.00000,0.33687,NaN,0.42889,0.00000,1.00000
2016-06-27,0.00000,NaN,0.50000,0.00000,0.63589,NaN,0.53854,0.00000,1.00000
2016-06-28,0.00000,NaN,0.46529,0.00000,0.34492,NaN,0.54625,0.00000,1.00000
2016-06-29,-0.00017,0.00000,0.39737,0.00000,0.28661,0.00000,0.47894,0.00000,0.99453
2016-07-01,0.00000,NaN,0.37809,0.00000,0.25774,NaN,0.44417,0.00000,1.00000
2016-07-05,0.00065,1.00000,0.45063,0.00291,0.39196,1.00000,0.49736,0.00694,1.00000
2016-07-06,0.00000,NaN,0.42301,0.00000,0.42813,NaN,0.47563,0.00000,1.00000
2016-07-18,0.00000,NaN,0.50000,0.00000,0.40909,NaN,0.60810,0.00000,1.00000
2016-07-21,0.00000,NaN,0.46710,0.00000,0.22829,NaN,0.59414,0.00000,1.00000
2016-07-22,0.00000,NaN,0.27731,0.00000,0.11301,NaN,0.35675,0.00000,1.00000
2016-07-25,0.00000,NaN,0.41379,0.00000,0.21818,NaN,0.51724,0.00000,1.00000
2016-07-26,0.00016,0.50000,0.42647,0.00158,0.45031,1.00000,0.52252,0.00375,1.00000
2016-07-27,0.00000,NaN,0.43407,0.00000,0.42097,NaN,0.54460,0.00000,1.00000
2016-07-28,0.00000,NaN,0.39110,0.00000,0.26634,NaN,0.45628,0.00000,1.00000
2016-08-02,0.00000,NaN,0.47594,0.00000,0.39514,NaN,0.55511,0.00000,1.00000
2016-08-15,0.00000,NaN,0.36144,0.00000,0.09771,NaN,0.40540,0.00000,1.00000
2016-08-16,0.00000,NaN,0.49382,0.00000,0.41237,NaN,0.57971,0.00000,1.00000
2016-08-26,0.00016,1.00000,0.46444,0.00185,0.55077,1.00000,0.53962,0.00364,1.00000
2016-08-27,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00000,0.00000,0.44612,0.00000,0.36832,0.00000,0.51364,0.00000,0.99519
2016-09-02,0.00000,NaN,0.37533,0.00000,0.24822,NaN,0.42168,0.00000,1.00000
2016-09-12,0.00000,NaN,0.39001,0.00000,0.57795,NaN,0.44538,0.00000,1.00000
2016-09-14,0.00000,NaN,0.46705,0.00000,0.66482,NaN,0.53734,0.00000,1.00000
2016-09-16,0.00000,NaN,0.44528,0.00000,0.45496,NaN,0.53176,0.00000,1.00000
2016-09-19,0.00000,NaN,0.41926,0.00000,0.42774,NaN,0.49169,0.00000,1.00000
