date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-09,-0.00694,0.37500,0.59999,0.42857,0.10526,0.50000,0.75000,0.90000,0.25000
2016-05-11,0.00116,0.29326,0.43832,0.24948,0.69692,0.43262,0.55989,0.26521,0.72881
2016-05-12,-0.00100,0.42127,0.40968,0.16202,0.77577,0.50000,0.49789,0.17157,0.82722
2016-05-13,-0.00100,0.37305,0.40871,0.19672,0.73349,0.48322,0.53763,0.21818,0.79575
2016-05-16,0.00698,0.52873,0.38282,0.21495,0.77581,0.63013,0.46140,0.23057,0.82965
2016-05-17,0.01288,0.41803,0.40123,0.15454,0.75456,0.50746,0.47544,0.16887,0.82129
2016-05-18,0.00130,0.35087,0.40175,0.16304,0.74863,0.46511,0.49016,0.17391,0.79883
2016-05-19,0.00439,0.43870,0.40987,0.18328,0.70491,0.49097,0.46281,0.19854,0.77035
2016-05-20,0.00697,0.55335,0.38640,0.23569,0.80210,0.66037,0.47804,0.25179,0.84105
2016-05-23,-0.00065,0.36563,0.38430,0.16700,0.74901,0.50609,0.50197,0.17965,0.82505
2016-05-26,0.00483,0.32294,0.40722,0.20035,0.71780,0.43018,0.54928,0.21880,0.76661
2016-06-01,-0.00049,0.39692,0.36789,0.19754,0.70956,0.52226,0.46788,0.21753,0.77566
2016-06-02,0.00080,0.38645,0.32288,0.15085,0.76722,0.54802,0.44978,0.16139,0.83739
2016-06-03,0.02596,0.25954,0.48266,0.10149,0.78017,0.34000,0.56298,0.10793,0.84579
2016-06-07,0.00484,0.43726,0.37704,0.18429,0.74957,0.54502,0.48881,0.20104,0.81988
2016-06-08,0.00155,0.40322,0.31787,0.15600,0.80728,0.62893,0.42743,0.16528,0.86467
2016-06-10,0.03865,0.41764,0.43841,0.21947,0.69821,0.48299,0.52746,0.23745,0.77004
2016-06-13,0.00164,0.40419,0.43344,0.23235,0.72867,0.48736,0.56385,0.25092,0.78582
2016-06-14,0.03268,0.35772,0.38282,0.13373,0.74882,0.45595,0.47604,0.14355,0.81958
2016-06-15,-0.02992,0.35526,0.49548,0.19217,0.73716,0.42023,0.59584,0.20889,0.80186
2016-06-17,0.00208,0.42187,0.40398,0.15697,0.75446,0.50467,0.49175,0.17088,0.82707
2016-06-20,0.00059,0.39348,0.40797,0.24960,0.67771,0.49371,0.51136,0.26746,0.73649
2016-06-22,-0.00312,0.38095,0.37104,0.19906,0.72695,0.55172,0.47508,0.22030,0.79766
2016-06-27,0.00104,0.42926,0.49922,0.13538,0.84135,0.52694,0.54923,0.14216,0.89118
2016-06-28,0.00282,0.39130,0.43828,0.23567,0.72600,0.48648,0.55414,0.25531,0.77448
2016-06-29,0.01172,0.39750,0.36168,0.23279,0.63622,0.48623,0.46118,0.25198,0.70629
2016-07-01,0.07013,0.35734,0.45008,0.20495,0.72394,0.46616,0.54334,0.22302,0.78353
2016-07-05,0.01426,0.41975,0.44225,0.19854,0.71606,0.49816,0.51289,0.21690,0.79051
2016-07-06,0.02014,0.46996,0.39766,0.16771,0.77307,0.55648,0.45994,0.18144,0.82820
2016-07-18,0.00119,0.48437,0.45294,0.31958,0.69999,0.53448,0.55000,0.32978,0.74038
2016-07-21,0.03944,0.36202,0.38371,0.24912,0.68167,0.49310,0.53199,0.27713,0.74255
2016-07-22,0.04227,0.46438,0.38222,0.24364,0.75856,0.62452,0.50570,0.27348,0.81885
2016-07-25,0.00012,0.36705,0.36115,0.20063,0.77090,0.58525,0.48512,0.22010,0.82490
2016-07-26,-0.01747,0.36391,0.33793,0.18888,0.72204,0.48971,0.49785,0.20238,0.78947
2016-07-27,0.00099,0.37864,0.42163,0.17972,0.76149,0.49787,0.52894,0.19864,0.81790
2016-07-28,0.00707,0.46814,0.38978,0.25375,0.73046,0.59929,0.51634,0.28260,0.80210
2016-08-02,0.00049,0.39772,0.43283,0.16431,0.78601,0.52500,0.53495,0.17979,0.85294
2016-08-15,-0.00321,0.34897,0.35594,0.28836,0.55537,0.46216,0.49064,0.32571,0.63148
2016-08-16,-0.00062,0.54761,0.53676,0.30263,0.75257,0.58974,0.64035,0.35937,0.82022
2016-08-26,0.00334,0.42323,0.43543,0.18888,0.74870,0.51515,0.52033,0.20278,0.81920
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00074,0.37681,0.43782,0.19585,0.74555,0.50000,0.52704,0.21666,0.80114
2016-09-02,0.01676,0.37121,0.41985,0.18081,0.71985,0.48514,0.50309,0.19639,0.79607
2016-09-12,0.00012,0.43298,0.39375,0.11428,0.81417,0.54545,0.46119,0.12209,0.88074
2016-09-14,0.01357,0.34634,0.45548,0.12074,0.79034,0.43827,0.54990,0.13148,0.86295
2016-09-16,0.00107,0.37037,0.41629,0.19639,0.72981,0.51724,0.50976,0.20979,0.80756
2016-09-19,0.03045,0.40840,0.43659,0.20637,0.74132,0.50746,0.52134,0.22405,0.79534
2016-09-23,-0.00105,0.40845,0.29138,0.18923,0.74514,0.59183,0.43396,0.20494,0.81176
