date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-18,0.00150,0.04482,0.03896,0.72222,0.13636,0.40625,0.42857,0.76470,0.13636
2016-05-19,0.00803,0.07779,0.12447,0.70085,0.47580,0.58571,0.68604,0.75229,0.50427
2016-05-20,0.00049,0.02320,0.04568,0.63636,0.42857,0.46666,0.62068,0.65625,0.42857
2016-05-23,0.00199,0.03594,0.03402,0.59574,0.40909,0.51851,0.51428,0.62222,0.40909
2016-05-26,0.00894,0.02580,0.04317,0.87500,0.59523,0.65116,0.86206,0.87500,0.62500
2016-06-01,-0.00050,0.00843,0.01307,0.56250,0.25000,0.34615,0.46153,0.56250,0.26086
2016-06-02,0.00344,0.02116,0.00410,0.77419,0.16666,0.70588,0.25000,0.80000,0.16666
2016-06-03,0.00245,0.01990,0.00682,0.86666,0.16666,0.65000,1.00000,1.00000,0.22222
2016-06-07,0.00000,0.04897,0.03405,0.84210,0.38000,0.60759,0.73076,0.87272,0.38000
2016-06-08,0.00048,0.02087,0.01672,0.57575,0.27027,0.44186,0.45454,0.61290,0.29411
2016-06-10,-0.00049,0.01113,0.00373,0.73333,0.07407,0.34375,0.50000,0.84615,0.08695
2016-06-13,0.00342,0.03799,0.03300,0.84444,0.39215,0.55072,0.74074,0.84444,0.39215
2016-06-14,0.00097,0.02391,0.04783,0.51219,0.74418,0.65625,0.65306,0.55263,0.74418
2016-06-15,0.00195,0.05023,0.05436,0.64285,0.23333,0.38848,0.51851,0.67500,0.24778
2016-06-17,-0.00098,0.03717,0.01836,0.59701,0.18750,0.54794,0.28125,0.63492,0.21428
2016-06-20,0.00048,0.01011,0.00581,0.91666,0.50000,0.78571,0.75000,0.91666,0.50000
2016-06-22,0.00146,0.02530,0.03225,0.80645,0.54545,0.64102,0.81818,0.86206,0.56250
2016-06-27,-0.00098,0.03916,0.04545,0.63380,0.22784,0.44554,0.42857,0.65217,0.24324
2016-06-28,0.00340,0.05112,0.03067,0.84285,0.29999,0.64130,0.65217,0.88059,0.31250
2016-06-29,0.00242,0.04069,0.06388,0.84482,0.52000,0.69999,0.78787,0.87500,0.55319
2016-07-01,-0.00388,0.03207,0.05162,0.60714,0.23478,0.28813,0.57446,0.62962,0.24324
2016-07-05,0.00437,0.04380,0.02868,0.74603,0.29787,0.61842,0.53846,0.79661,0.32558
2016-07-06,-0.00194,0.05531,0.06060,0.71428,0.26666,0.46762,0.52830,0.72222,0.27450
2016-07-18,-0.00049,0.03608,0.10638,0.58333,0.41666,0.50000,0.50000,0.58333,0.41666
2016-07-21,0.00630,0.03033,0.03799,0.60784,0.41509,0.52542,0.53658,0.61999,0.44000
2016-07-22,0.00144,0.03069,0.02531,0.77551,0.16393,0.43181,0.50000,0.79166,0.16666
2016-07-25,-0.00097,0.00799,0.00725,0.52941,0.11428,0.25000,0.36363,0.56250,0.12903
2016-07-26,0.00240,0.03520,0.02338,0.88000,0.39393,0.69841,0.68421,0.88000,0.40625
2016-07-27,0.00384,0.03258,0.05470,0.75000,0.40322,0.52702,0.67567,0.76470,0.41666
2016-07-28,0.00382,0.03760,0.03225,0.80000,0.33333,0.60273,0.61538,0.81481,0.35555
2016-08-02,0.00142,0.02445,0.00621,0.63636,0.14999,0.65116,0.16666,0.65116,0.16666
2016-08-15,-0.00048,0.01163,0.02569,0.36111,0.26530,0.29545,0.36111,0.36111,0.29545
2016-08-16,0.00095,0.10714,0.09523,0.92307,0.66666,0.75000,0.88888,0.92307,0.66666
2016-08-26,0.00428,0.01925,0.01691,0.69565,0.61538,0.76190,0.57142,0.72727,0.61538
2016-09-01,0.00000,0.02071,0.00980,0.86363,0.25000,0.61290,0.57142,0.86363,0.25000
2016-09-02,0.00710,0.01480,0.00662,1.00000,0.42857,0.76470,1.00000,1.00000,0.42857
2016-09-12,0.00282,0.02987,0.02284,0.70833,0.21428,0.53968,0.56250,0.82926,0.23684
2016-09-14,0.00140,0.00781,0.01383,0.88888,0.50000,0.53333,1.00000,1.00000,0.50000
2016-09-16,-0.00469,0.00800,0.00707,0.50000,0.14999,0.35999,0.25000,0.50000,0.15789
2016-09-19,0.00000,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
