date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-11,0.29702,0.34210,0.24299,0.32663,0.37410,0.69892,0.44827,0.50387,0.65000
2016-05-12,-0.05344,0.12380,0.13682,0.16455,0.28333,0.36619,0.51908,0.29213,0.60176
2016-05-13,-0.07259,0.04587,0.07051,0.08620,0.30136,0.29411,0.48888,0.17857,0.64705
2016-05-16,-0.08696,0.08383,0.10835,0.25000,0.41176,0.40000,0.72916,0.51851,0.62500
2016-05-17,-0.01905,0.03164,0.02862,0.13157,0.23880,0.50000,0.72727,0.45454,0.76190
2016-05-18,-0.08738,0.00000,0.02362,0.00000,0.16666,0.00000,0.75000,0.00000,0.54545
2016-05-19,0.11702,0.03401,0.02449,0.21276,0.35483,0.71428,0.50000,0.47619,0.73333
2016-05-20,0.02857,0.04048,0.02490,0.25000,0.44827,0.83333,0.59090,0.52631,0.86666
2016-05-23,0.03703,0.01098,0.03754,0.04761,0.51162,0.22222,0.53658,0.09523,0.75862
2016-05-26,-0.00893,0.00000,0.02325,0.00000,0.50000,0.00000,0.85714,0.00000,0.66666
2016-06-01,-0.02352,0.02372,0.03215,0.11864,0.28378,0.43750,0.44680,0.21212,0.69999
2016-06-02,0.12916,0.01608,0.03806,0.14634,0.37681,0.21428,0.56521,0.23076,0.54166
2016-06-03,-0.00818,0.07031,0.02931,0.15254,0.15789,0.39130,0.34615,0.34615,0.39130
2016-06-07,0.00065,0.05555,0.11750,0.15199,0.63157,0.44186,0.58536,0.21839,0.80000
2016-06-08,0.08067,0.03859,0.07561,0.18644,0.39455,0.21153,0.66666,0.27500,0.58585
2016-06-10,0.40374,0.06106,0.08832,0.15686,0.46093,0.42105,0.60204,0.29090,0.72839
2016-06-13,-0.00158,0.03879,0.05112,0.13043,0.41975,0.34615,0.55737,0.25000,0.66666
2016-06-14,-0.01685,0.00716,0.03508,0.05714,0.45454,0.22222,0.52631,0.10000,0.74074
2016-06-15,-0.01327,0.00738,0.00676,0.16666,0.25000,0.50000,0.66666,0.50000,0.66666
2016-06-17,0.01120,0.01153,0.04588,0.05555,0.50000,0.33333,0.70588,0.23076,0.80000
2016-06-20,-0.00555,0.00671,0.00822,0.06060,0.17857,0.40000,0.17241,0.07692,0.62500
2016-06-22,-0.01672,0.03169,0.03030,0.19565,0.43243,0.59999,0.55172,0.40909,0.72727
2016-06-27,-0.01700,0.02068,0.02415,0.07499,0.13513,0.25000,0.62500,0.33333,0.52631
2016-06-28,-0.01730,0.00851,0.00349,0.15384,0.16666,0.50000,1.00000,1.00000,0.50000
2016-06-29,0.11725,0.00704,0.00400,0.11764,0.08333,0.25000,1.00000,1.00000,0.25000
2016-07-01,0.00005,0.03345,0.03649,0.13636,0.37313,0.32142,0.53191,0.29032,0.56818
2016-07-05,0.00524,0.00523,0.00142,0.25000,0.11111,1.00000,0.33333,0.33333,1.00000
2016-07-06,0.00000,0.01762,0.01043,0.22222,0.41666,1.00000,0.41666,0.36363,1.00000
2016-07-18,-0.01045,0.00000,0.14062,NaN,0.81818,0.00000,1.00000,NaN,0.90000
2016-07-21,0.07916,0.03546,0.02839,0.24390,0.33333,0.62500,0.59999,0.45454,0.75000
2016-07-22,0.00489,0.00719,0.01356,0.14285,0.91666,1.00000,0.78571,0.40000,1.00000
2016-07-25,0.03893,0.02597,0.00801,0.36363,0.38888,0.80000,0.53846,0.57142,0.77777
2016-07-26,-0.00937,0.01556,0.02111,0.08888,0.27450,0.33333,0.73684,0.44444,0.63636
2016-07-27,-0.00473,0.04184,0.03555,0.21739,0.46153,0.62500,0.66666,0.45454,0.80000
2016-07-28,-0.00423,0.03089,0.04588,0.23404,0.40476,0.28947,0.80952,0.57894,0.55737
2016-08-02,0.00739,0.07581,0.12875,0.16030,0.46153,0.35593,0.65693,0.30882,0.70312
2016-08-15,-0.00948,0.04609,0.07045,0.18309,0.71999,0.46428,0.59999,0.21311,0.82758
2016-08-16,0.00000,0.00000,0.00925,0.00000,0.16666,NaN,0.20000,0.00000,1.00000
2016-08-26,0.07172,0.05392,0.02545,0.22448,0.25000,0.64705,0.36842,0.31428,0.69999
2016-08-27,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00892,0.02066,0.03703,0.12195,0.54054,0.55555,0.42553,0.15625,0.83333
2016-09-02,0.00884,0.05405,0.02785,0.28571,0.46341,0.59999,0.45238,0.34285,0.70370
2016-09-12,-0.01763,0.05479,0.01366,0.18461,0.09230,0.63157,0.28571,0.44444,0.46153
