date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-26,-0.01072,0.05729,0.06506,0.83333,0.17924,0.48387,0.61290,0.86206,0.19191
2016-06-01,-0.10109,0.06239,0.07017,0.75789,0.18181,0.42105,0.53333,0.77419,0.19512
2016-06-02,-0.03213,0.04879,0.06756,0.86301,0.20833,0.48461,0.74074,0.90000,0.22988
2016-06-03,0.01244,0.05359,0.04216,0.80392,0.13461,0.48235,0.43750,0.81999,0.13725
2016-06-07,0.04918,0.03557,0.01863,0.71153,0.19148,0.50684,0.47368,0.78723,0.20000
2016-06-08,-0.00391,0.00382,0.00000,0.66666,0.00000,0.36363,NaN,1.00000,0.00000
2016-06-10,0.00784,0.03624,0.04845,0.77777,0.19642,0.52688,0.45833,0.79032,0.20000
2016-06-13,0.08560,0.03895,0.01463,0.91666,0.06521,0.56701,0.59999,0.96491,0.06666
2016-06-14,-0.01793,0.00567,0.03030,1.00000,0.25000,0.36363,1.00000,1.00000,0.26315
2016-06-15,-0.03650,0.01615,0.01764,1.00000,0.07894,0.39655,1.00000,1.00000,0.07894
2016-06-17,0.02651,0.04461,0.01485,0.94029,0.05454,0.55752,0.75000,0.98437,0.05660
2016-06-20,0.07749,0.07176,0.06289,0.92857,0.16949,0.49456,0.76923,0.93814,0.17699
2016-06-22,-0.03083,0.03970,0.01204,0.94736,0.02150,0.37762,0.50000,0.96428,0.02197
2016-06-27,0.01766,0.11655,0.13513,0.96174,0.04926,0.47826,0.76923,0.98324,0.04950
2016-06-28,-0.04862,0.07435,0.04891,0.81060,0.06818,0.47345,0.29999,0.83593,0.07031
2016-06-29,0.17883,0.04245,0.01459,0.90322,0.05263,0.44444,0.40000,0.90322,0.05405
2016-07-01,-0.05264,0.08715,0.13553,0.88188,0.15677,0.37209,0.78723,0.91803,0.16371
2016-07-05,0.09803,0.05813,0.10050,0.85869,0.10810,0.33193,0.74074,0.91860,0.11173
2016-07-06,-0.00893,0.07280,0.04000,0.83760,0.07284,0.42608,0.44000,0.87500,0.07692
2016-07-18,-0.01202,0.07264,0.16666,0.84999,0.03333,0.38636,0.33333,0.89473,0.03571
2016-07-21,-0.00608,0.03367,0.01608,0.72727,0.08955,0.42105,0.31578,0.75471,0.09836
2016-07-22,0.08868,0.02267,0.01745,0.81818,0.10447,0.33750,0.58333,0.84375,0.11666
2016-07-25,-0.00562,0.01629,0.03807,0.58823,0.30612,0.42553,0.59999,0.66666,0.35714
2016-07-26,-0.00848,0.05455,0.04651,0.95505,0.09009,0.47222,0.76923,0.96590,0.09523
2016-07-27,-0.01995,0.06192,0.10880,0.77876,0.12962,0.39639,0.51219,0.81481,0.13548
2016-07-28,-0.02035,0.05678,0.02222,0.87500,0.05217,0.42076,0.42857,0.90588,0.05357
2016-08-02,0.02967,0.04199,0.04747,0.81818,0.21917,0.50467,0.61538,0.84375,0.23188
2016-08-15,0.00288,0.05277,0.03037,0.79729,0.15294,0.48360,0.48148,0.80821,0.17105
2016-08-16,0.00000,0.04469,0.07142,1.00000,0.12500,0.53333,1.00000,1.00000,0.12500
2016-08-26,0.00000,0.01557,0.00617,1.00000,0.07142,0.59999,1.00000,1.00000,0.07692
2016-09-01,0.04022,0.04166,0.02040,0.86792,0.07407,0.50000,0.36363,0.86792,0.08000
2016-09-02,0.00276,0.01279,0.00000,0.92857,0.00000,0.61904,0.00000,0.92857,0.00000
