date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-09,-0.00910,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-05-11,-0.00440,0.41634,0.43848,0.19561,0.24821,0.49308,0.50362,0.43852,0.55823
2016-05-12,0.00581,0.39325,0.41470,0.18421,0.24650,0.47297,0.50902,0.43568,0.54651
2016-05-13,-0.00080,0.44029,0.46825,0.16713,0.28502,0.51754,0.56459,0.39333,0.68208
2016-05-16,0.00598,0.59523,0.34999,0.18072,0.14383,0.74257,0.41999,0.56390,0.61764
2016-05-17,-0.00119,0.46892,0.45454,0.14954,0.40372,0.53548,0.52313,0.25937,0.78313
2016-05-18,-0.00517,0.34000,0.43575,0.09264,0.41599,0.39080,0.48749,0.17171,0.74641
2016-05-19,0.00359,0.45136,0.42244,0.17709,0.51538,0.51785,0.50074,0.25777,0.75620
2016-05-20,-0.00259,0.42682,0.41401,0.07201,0.11565,0.51470,0.48872,0.33980,0.66326
2016-05-23,0.00159,0.32941,0.39893,0.06746,0.15243,0.40000,0.53571,0.30107,0.64102
2016-05-26,-0.00120,0.42499,0.44591,0.12898,0.27569,0.54487,0.49852,0.33333,0.70416
2016-06-01,-0.00279,0.42975,0.42222,0.16481,0.16351,0.54450,0.50802,0.53061,0.52197
2016-06-02,0.00019,0.47530,0.40094,0.11791,0.14214,0.55395,0.45212,0.42777,0.57823
2016-06-03,-0.00200,0.35042,0.51351,0.13268,0.33928,0.40594,0.61009,0.32539,0.68911
2016-06-07,-0.00661,0.33128,0.41333,0.11065,0.09158,0.42857,0.47692,0.44262,0.46268
2016-06-08,-0.00504,0.32738,0.32704,0.10742,0.09154,0.42968,0.46428,0.47826,0.41599
2016-06-10,0.00283,0.36969,0.38916,0.10499,0.25119,0.44525,0.47164,0.25630,0.67521
2016-06-13,0.00484,0.47756,0.38875,0.22008,0.23625,0.54779,0.43561,0.41971,0.56382
2016-06-14,-0.00181,0.44117,0.43642,0.12175,0.39687,0.51724,0.51836,0.24115,0.78395
2016-06-15,0.00422,0.36666,0.38154,0.15689,0.23943,0.42672,0.43465,0.33221,0.53496
2016-06-17,0.00260,0.42307,0.38113,0.13707,0.31544,0.55000,0.45862,0.27760,0.72932
2016-06-20,-0.00440,0.37642,0.45333,0.17068,0.20268,0.46478,0.55284,0.47368,0.54400
2016-06-22,0.00040,0.42323,0.38141,0.17435,0.26086,0.50000,0.49840,0.39382,0.60465
2016-06-27,-0.00683,0.38364,0.43428,0.09010,0.54285,0.42361,0.48906,0.13318,0.82073
2016-06-28,0.00788,0.46931,0.39156,0.19202,0.30854,0.52845,0.45774,0.36011,0.62700
2016-06-29,0.00481,0.49189,0.32653,0.12084,0.23703,0.61486,0.39384,0.31597,0.69189
2016-07-01,-0.00480,0.45387,0.38663,0.20672,0.24434,0.54910,0.46820,0.40065,0.61596
2016-07-05,0.00621,0.49590,0.40377,0.17715,0.34460,0.57345,0.46929,0.33333,0.70394
2016-07-06,0.01056,0.51598,0.42808,0.15694,0.40128,0.62087,0.49800,0.30958,0.78369
2016-07-18,0.00315,0.48214,0.25757,0.19424,0.26153,0.65853,0.28813,0.39130,0.54838
2016-07-21,-0.00354,0.44767,0.35106,0.13207,0.15664,0.55395,0.43421,0.37378,0.61490
2016-07-22,0.00000,0.37272,0.36744,0.07068,0.14208,0.53947,0.42702,0.27891,0.69298
2016-07-25,0.00828,0.41203,0.45454,0.14882,0.15682,0.55625,0.57432,0.58552,0.54487
2016-07-26,-0.00646,0.41923,0.32150,0.16100,0.24175,0.49099,0.39588,0.31686,0.57677
2016-07-27,0.00197,0.41206,0.44827,0.12954,0.36646,0.49101,0.51458,0.26031,0.74397
2016-07-28,0.00648,0.46919,0.37500,0.15942,0.19285,0.60736,0.45569,0.43421,0.62790
2016-08-02,-0.00020,0.44489,0.41484,0.17111,0.29641,0.51904,0.50938,0.37328,0.65292
2016-08-15,0.00195,0.46666,0.33009,0.06392,0.07727,0.63636,0.41463,0.36842,0.68000
2016-08-16,0.00156,0.52380,0.28787,0.20370,0.37254,1.00000,0.44186,0.31428,1.00000
2016-08-26,-0.00409,0.34821,0.44000,0.15384,0.44160,0.44067,0.51380,0.25407,0.70967
2016-08-27,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,-0.00724,0.41752,0.47683,0.15547,0.33653,0.50000,0.55910,0.36986,0.68359
2016-09-02,-0.00394,0.28030,0.39068,0.08604,0.20222,0.41111,0.49321,0.24832,0.67283
2016-09-12,0.00336,0.49532,0.40216,0.14971,0.56302,0.58241,0.46853,0.21810,0.81508
2016-09-14,-0.00237,0.40669,0.40506,0.13449,0.53252,0.45212,0.49299,0.19015,0.77362
2016-09-16,0.01362,0.39743,0.43923,0.15072,0.33660,0.47448,0.52020,0.32862,0.66666
2016-09-19,-0.00546,0.42399,0.42909,0.17935,0.34962,0.51207,0.50971,0.31831,0.70029
