date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-06-10,0.04444,0.09541,0.06451,0.92592,0.22222,0.78125,0.50000,0.92592,0.22222
2016-06-13,0.27659,0.02483,0.03915,0.52000,0.38805,0.38805,0.52000,0.52000,0.38805
2016-06-14,0.11111,0.05212,0.05132,0.69230,0.44927,0.58695,0.56363,0.69230,0.44927
2016-06-15,-0.00500,0.03422,0.02348,0.82222,0.28000,0.50684,0.63636,0.82222,0.28000
2016-06-17,0.06532,0.00432,0.02884,0.45454,0.50000,0.25000,0.71428,0.45454,0.50000
2016-06-20,-0.00472,0.02846,0.01867,0.54385,0.28205,0.52542,0.29729,0.54385,0.28205
2016-06-22,0.01895,0.03483,0.04056,0.73999,0.30666,0.41573,0.63888,0.73999,0.30666
2016-06-27,0.09302,0.04213,0.05853,0.98360,0.21428,0.57692,0.92307,0.98360,0.21428
2016-06-28,0.00000,0.01622,0.00342,1.00000,0.03333,0.44230,1.00000,1.00000,0.03333
2016-06-29,-0.00852,0.01036,0.03095,0.76470,0.39393,0.39393,0.76470,0.76470,0.39393
2016-07-01,0.03862,0.01385,0.01071,0.57692,0.22222,0.41666,0.35294,0.57692,0.22222
2016-07-05,0.02892,0.02141,0.01346,0.69696,0.21621,0.44230,0.44444,0.69696,0.21621
2016-07-06,-0.00804,0.02177,0.02306,0.71052,0.31428,0.52941,0.50000,0.71052,0.31428
2016-07-18,-0.01215,0.12371,0.09433,0.80000,0.17241,0.50000,0.45454,0.80000,0.17241
2016-07-21,0.05737,0.11873,0.16638,0.61835,0.43693,0.50592,0.55113,0.61835,0.43693
2016-07-22,0.04263,0.03368,0.06451,0.70370,0.32727,0.33928,0.69230,0.70370,0.32727
2016-07-25,0.07063,0.02910,0.05481,0.53448,0.44578,0.40259,0.57812,0.53448,0.44578
2016-07-26,0.00694,0.04163,0.02742,0.71428,0.26315,0.56701,0.40540,0.71428,0.26315
2016-07-27,0.06551,0.02513,0.03667,0.97058,0.26315,0.44000,0.93750,0.97058,0.26315
2016-07-28,-0.03560,0.06130,0.11637,0.65254,0.37500,0.46107,0.56842,0.65254,0.37500
2016-08-02,-0.03692,0.03308,0.02647,0.60606,0.18571,0.41237,0.33333,0.60606,0.18571
2016-08-15,0.00696,0.02050,0.02152,0.70967,0.33333,0.45833,0.59090,0.70967,0.33333
2016-08-16,-0.00693,0.05084,0.01219,0.75000,0.12500,0.46153,0.33333,0.75000,0.12500
2016-08-26,0.02439,0.05043,0.04925,0.76666,0.25274,0.40350,0.62162,0.76666,0.25274
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00680,0.15331,0.17786,0.80239,0.40723,0.50566,0.73170,0.80239,0.40723
2016-09-02,0.05067,0.07017,0.09917,0.57657,0.44444,0.51612,0.50526,0.57657,0.44444
2016-09-12,0.01286,0.07348,0.08411,0.78861,0.18620,0.45116,0.50943,0.78861,0.18620
2016-09-14,0.06031,0.08120,0.15141,0.90000,0.25531,0.43548,0.80000,0.90000,0.25531
2016-09-16,0.06287,0.05892,0.04772,0.66037,0.19266,0.44303,0.36842,0.66037,0.19266
2016-09-19,0.07887,0.05924,0.05166,0.70967,0.29787,0.50000,0.50909,0.70967,0.29787
