date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-06-10,-0.18519,0.14285,0.03703,0.51851,0.55555,0.87500,0.35714,0.60869,0.71428
2016-06-13,-0.00910,0.01145,0.03896,0.11999,0.31343,0.19354,0.44680,0.18750,0.45652
2016-06-14,0.18348,0.07098,0.03541,0.43589,0.30434,0.69387,0.58333,0.69387,0.58333
2016-06-15,0.02325,0.03645,0.01457,0.46666,0.16000,0.52500,0.61538,0.80769,0.29629
2016-06-17,-0.02273,0.00000,0.03036,0.00000,0.50000,0.00000,0.57692,0.00000,0.53571
2016-06-20,0.00000,0.02177,0.01926,0.21052,0.25641,0.50000,0.32258,0.36363,0.45454
2016-06-22,0.03875,0.02866,0.02480,0.35999,0.17333,0.34615,0.50000,0.58064,0.27659
2016-06-27,0.16417,0.04644,0.03319,0.27868,0.14285,0.89473,0.88888,0.94444,0.80000
2016-06-28,0.00641,0.01444,0.00297,0.34782,0.03333,0.44444,1.00000,1.00000,0.09090
2016-06-29,-0.00637,0.00681,0.03160,0.29411,0.42424,0.38461,0.73684,0.50000,0.63636
2016-07-01,-0.00642,0.00807,0.00389,0.19230,0.07407,0.21739,0.14285,0.29411,0.10000
2016-07-05,-0.02581,0.00759,0.00417,0.12121,0.05405,0.19047,0.16666,0.28571,0.10526
2016-07-06,0.00000,0.01492,0.02852,0.21052,0.45714,0.47058,0.42105,0.26666,0.64000
2016-07-18,-0.00663,0.09923,0.05882,0.43333,0.06896,0.43333,0.50000,0.86666,0.10526
2016-07-21,-0.04667,0.09984,0.14358,0.31400,0.38288,0.44827,0.52469,0.45774,0.51515
2016-07-22,0.10489,0.02808,0.06719,0.42592,0.30909,0.37096,0.77272,0.69696,0.46575
2016-07-25,-0.05697,0.02244,0.04674,0.27586,0.39759,0.33333,0.53225,0.35555,0.50769
2016-07-26,-0.00672,0.05327,0.01477,0.45454,0.15789,0.47297,0.32142,0.64814,0.18750
2016-07-27,0.12162,0.01680,0.03100,0.35294,0.21052,0.38709,0.92307,0.92307,0.38709
2016-07-28,0.03012,0.08032,0.07780,0.58474,0.18750,0.44516,0.71052,0.86250,0.23893
2016-08-02,-0.03509,0.03692,0.01359,0.36363,0.10000,0.40677,0.29166,0.58536,0.16666
2016-08-15,-0.01819,0.01743,0.01989,0.35483,0.38461,0.52380,0.50000,0.42307,0.59999
2016-08-16,-0.00618,0.05970,0.05454,0.50000,0.37500,0.44444,0.59999,0.66666,0.37500
2016-08-26,-0.01864,0.03030,0.04930,0.21666,0.27472,0.40625,0.58139,0.41935,0.56818
2016-08-27,0.00000,NaN,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,-0.05064,0.13232,0.15830,0.36526,0.37104,0.46923,0.67768,0.60999,0.54304
2016-09-02,-0.06000,0.08417,0.07882,0.45045,0.32407,0.49504,0.43209,0.52083,0.40697
2016-09-12,0.04255,0.10905,0.07288,0.43089,0.17241,0.51960,0.53191,0.70666,0.33783
2016-09-14,0.02040,0.08433,0.11807,0.40833,0.26063,0.42241,0.68055,0.68055,0.42241
2016-09-16,0.01333,0.05063,0.08941,0.30188,0.34862,0.54237,0.46913,0.42666,0.58461
2016-09-19,-0.01316,0.06185,0.05017,0.38709,0.30851,0.52173,0.46031,0.51428,0.46774
2016-09-23,-0.01334,0.00886,0.02721,0.20000,0.25000,0.25000,0.40000,0.28000,0.36363
