date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-11,0.02950,0.14220,0.19819,0.58215,0.41044,0.45925,0.57894,0.60784,0.42968
2016-05-12,-0.00922,0.15678,0.25379,0.44905,0.51384,0.44237,0.55115,0.46666,0.52681
2016-05-13,0.02582,0.15336,0.20739,0.47402,0.49509,0.45911,0.58045,0.50000,0.54010
2016-05-16,0.00704,0.16341,0.16969,0.57861,0.40000,0.52873,0.47863,0.60130,0.40579
2016-05-17,0.00600,0.19860,0.27298,0.45659,0.56764,0.51079,0.55142,0.47491,0.58662
2016-05-18,0.00994,0.30952,0.21881,0.54852,0.52450,0.59360,0.52450,0.57268,0.54591
2016-05-19,0.00295,0.14873,0.28478,0.29012,0.67352,0.44339,0.54469,0.30031,0.68947
2016-05-20,0.00098,0.16436,0.13513,0.64532,0.35326,0.54356,0.50387,0.67179,0.37142
2016-05-23,0.00392,0.09599,0.15789,0.62698,0.38297,0.41798,0.62608,0.64754,0.39560
2016-05-26,0.00683,0.15366,0.18285,0.52755,0.48301,0.51937,0.53556,0.54693,0.50793
2016-06-01,0.02521,0.14616,0.17518,0.49792,0.56338,0.57416,0.53097,0.53097,0.57416
2016-06-02,0.00756,0.11212,0.10101,0.54950,0.32085,0.47639,0.42857,0.58115,0.32967
2016-06-03,0.12300,0.21834,0.24101,0.52083,0.51351,0.49261,0.56999,0.53763,0.52534
2016-06-07,0.00418,0.20360,0.22061,0.58358,0.39610,0.53185,0.49795,0.60952,0.41924
2016-06-08,-0.00167,0.11022,0.12284,0.56122,0.38775,0.57894,0.43846,0.60109,0.41605
2016-06-10,0.00333,0.15881,0.16422,0.57312,0.39299,0.50173,0.51269,0.60165,0.41224
2016-06-13,0.00166,0.22384,0.17491,0.44591,0.44314,0.48843,0.43304,0.45923,0.46200
2016-06-14,0.00829,0.21038,0.22727,0.45294,0.53221,0.49517,0.51912,0.46666,0.54755
2016-06-15,0.00740,0.15672,0.15852,0.40213,0.54508,0.52803,0.45862,0.41851,0.56837
2016-06-17,0.00735,0.16901,0.19808,0.44582,0.50699,0.54135,0.47385,0.47213,0.54307
2016-06-20,0.01459,0.13358,0.15437,0.50239,0.63841,0.65217,0.54326,0.52500,0.66863
2016-06-22,-0.00240,0.13476,0.22287,0.44444,0.67971,0.51764,0.63666,0.44670,0.69963
2016-06-27,0.01362,0.28282,0.30173,0.35109,0.76769,0.56852,0.64259,0.36721,0.80324
2016-06-28,0.02055,0.17636,0.17441,0.32907,0.63706,0.56284,0.46478,0.35153,0.67346
2016-06-29,0.00929,0.13846,0.18711,0.47161,0.57633,0.52682,0.57633,0.49315,0.60887
2016-07-01,0.01227,0.14486,0.16306,0.44978,0.62100,0.56906,0.54618,0.47685,0.63551
2016-07-05,0.08642,0.14477,0.18924,0.46190,0.67871,0.59876,0.62592,0.48989,0.72222
2016-07-06,0.01605,0.21732,0.17486,0.42165,0.58802,0.58498,0.47042,0.44047,0.61397
2016-07-18,-0.00138,0.25531,0.25342,0.28235,0.50684,0.40677,0.39784,0.29999,0.51388
2016-07-21,0.00000,0.12212,0.17789,0.53723,0.55230,0.50500,0.63768,0.57386,0.57142
2016-07-22,0.01031,0.14364,0.15578,0.51778,0.52763,0.61214,0.48165,0.53688,0.55851
2016-07-25,0.00612,0.10469,0.13202,0.46276,0.49090,0.45549,0.54545,0.49152,0.50943
2016-07-26,0.01556,0.17004,0.18795,0.49834,0.50160,0.50166,0.52881,0.52068,0.50980
2016-07-27,0.00666,0.19281,0.21813,0.50284,0.39588,0.44810,0.47975,0.51453,0.41397
2016-07-28,0.01058,0.13005,0.24297,0.53784,0.53454,0.52529,0.58102,0.56016,0.54646
2016-08-02,0.00261,0.13398,0.23264,0.50458,0.56562,0.46025,0.64184,0.52132,0.58387
2016-08-15,0.00653,0.14829,0.09266,0.49344,0.40223,0.53809,0.41860,0.53051,0.42603
2016-08-16,0.00194,0.22033,0.22962,0.30232,0.59615,0.39393,0.51666,0.30952,0.60784
2016-08-26,-0.01037,0.17255,0.29706,0.28719,0.64456,0.40487,0.55606,0.29963,0.66575
2016-08-27,0.00000,NaN,0.00000,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.01505,0.20489,0.20336,0.49446,0.54065,0.56779,0.51351,0.51538,0.56595
2016-09-02,0.01225,0.20413,0.18117,0.60536,0.42323,0.55830,0.52577,0.63200,0.44933
2016-09-12,0.01019,0.29259,0.26331,0.32644,0.65859,0.55633,0.46337,0.33403,0.68341
2016-09-14,0.01954,0.24883,0.26169,0.38554,0.56354,0.48484,0.49163,0.39702,0.58024
2016-09-16,0.02659,0.30222,0.24557,0.44195,0.50120,0.52289,0.45414,0.46466,0.51231
2016-09-19,0.00000,0.30446,0.29459,0.44855,0.50097,0.48123,0.50393,0.46382,0.52138
2016-09-23,-0.00121,0.17777,0.22647,0.50836,0.42424,0.43678,0.54035,0.53710,0.44000
