date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-11,0.00842,0.19877,0.25000,0.54166,0.46391,0.48148,0.58951,0.58035,0.49090
2016-05-12,0.00373,0.22934,0.22905,0.57763,0.46048,0.56707,0.53600,0.61589,0.48550
2016-05-13,0.00654,0.17322,0.20575,0.52071,0.48186,0.51461,0.61589,0.60273,0.52840
2016-05-16,0.00369,0.24863,0.38095,0.60888,0.36144,0.41768,0.62176,0.65238,0.38585
2016-05-17,-0.00579,0.20927,0.28453,0.53924,0.40995,0.43888,0.61565,0.59398,0.46133
2016-05-18,0.00440,0.24618,0.23699,0.54066,0.39423,0.55940,0.58156,0.65697,0.47953
2016-05-19,0.00228,0.21765,0.21416,0.49315,0.30999,0.46632,0.46792,0.56074,0.37575
2016-05-20,0.00647,0.18140,0.20970,0.52838,0.49387,0.52838,0.57345,0.57345,0.52838
2016-05-23,0.00608,0.25349,0.16640,0.52750,0.43373,0.57597,0.45762,0.56013,0.47368
2016-05-26,0.00484,0.18065,0.22745,0.45454,0.43002,0.44797,0.50598,0.48437,0.46944
2016-06-01,0.00275,0.16081,0.16031,0.48571,0.49593,0.50423,0.51694,0.51072,0.51046
2016-06-02,0.00240,0.13272,0.13361,0.55769,0.40254,0.46586,0.53072,0.57999,0.41666
2016-06-03,0.00068,0.07708,0.10232,0.34579,0.40366,0.41111,0.42307,0.38144,0.45360
2016-06-07,0.00581,0.21125,0.19656,0.58227,0.41721,0.54117,0.52066,0.61333,0.44680
2016-06-08,0.00068,0.19852,0.16413,0.52442,0.37370,0.49845,0.44628,0.54576,0.40000
2016-06-10,0.00016,0.11789,0.11026,0.47752,0.43939,0.46703,0.53048,0.52469,0.47282
2016-06-13,0.00000,0.05522,0.08670,0.32743,0.52447,0.38541,0.52083,0.34905,0.55970
2016-06-14,0.00067,0.06083,0.04842,0.47674,0.47435,0.53246,0.48051,0.50617,0.50684
2016-06-15,-0.00085,0.10453,0.13538,0.46629,0.46543,0.47701,0.54891,0.50000,0.52604
2016-06-17,0.00101,0.20000,0.21733,0.53429,0.53846,0.57142,0.62222,0.59199,0.60215
2016-06-20,-0.00051,0.11524,0.09959,0.51666,0.38219,0.47938,0.50694,0.56707,0.41954
2016-06-22,0.00577,0.13732,0.18138,0.55188,0.53240,0.56521,0.61497,0.61904,0.56097
2016-06-27,0.00287,0.17704,0.18266,0.44813,0.41258,0.51184,0.59898,0.57754,0.53393
2016-06-28,0.00538,0.16104,0.16996,0.60408,0.38148,0.50511,0.57865,0.66367,0.41532
2016-06-29,0.00335,0.10000,0.09317,0.56969,0.43410,0.58385,0.47863,0.60645,0.45528
2016-07-01,0.01452,0.18934,0.17134,0.50955,0.49152,0.61302,0.45669,0.53691,0.53456
2016-07-05,0.00246,0.15395,0.15169,0.38489,0.51867,0.54871,0.47528,0.43673,0.58685
2016-07-06,0.00426,0.19217,0.16796,0.55862,0.37113,0.54180,0.55958,0.65587,0.44081
2016-07-18,0.00032,0.12666,0.10714,0.59375,0.27272,0.47499,0.52941,0.70370,0.29999
2016-07-21,0.00473,0.10328,0.13896,0.58666,0.43497,0.43349,0.64238,0.61971,0.45754
2016-07-22,0.00113,0.09297,0.08153,0.53749,0.46086,0.60139,0.43442,0.55483,0.48181
2016-07-25,0.00259,0.15801,0.13031,0.54474,0.50531,0.64220,0.47738,0.57377,0.54913
2016-07-26,0.00307,0.08678,0.04640,0.62773,0.26271,0.51807,0.44927,0.69354,0.27927
2016-07-27,0.01017,0.08167,0.10402,0.72566,0.41610,0.52564,0.71264,0.76635,0.45588
2016-07-28,-0.01472,0.07554,0.12521,0.64406,0.33953,0.38000,0.64601,0.65517,0.37055
2016-08-02,0.00438,0.06737,0.12379,0.44531,0.47619,0.41007,0.57692,0.46341,0.52325
2016-08-15,0.00371,0.16448,0.16040,0.63671,0.42922,0.59489,0.53107,0.66260,0.45853
2016-08-16,0.00144,0.17000,0.28735,0.48571,0.75757,0.70833,0.62500,0.53125,0.78125
2016-08-26,0.00417,0.11796,0.07599,0.54320,0.24358,0.45833,0.40860,0.61538,0.26760
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00240,0.11517,0.16007,0.51204,0.45454,0.50898,0.55921,0.55921,0.50898
2016-09-02,0.00095,0.05616,0.04703,0.44565,0.31395,0.42708,0.40298,0.50617,0.32926
2016-09-12,0.00095,0.08468,0.09375,0.47887,0.34931,0.53543,0.56666,0.63551,0.46363
2016-09-14,0.01004,0.13918,0.13058,0.46303,0.34389,0.53603,0.41758,0.52888,0.42458
2016-09-16,-0.01815,0.17964,0.30593,0.48474,0.40936,0.36666,0.59117,0.50709,0.44866
2016-09-19,0.00948,0.18727,0.29307,0.46086,0.43544,0.41732,0.57348,0.51791,0.47268
2016-09-23,-0.00781,0.43758,0.35804,0.43873,0.49825,0.55407,0.41244,0.45060,0.51537
