date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-11,0.00931,0.26562,0.34150,0.49156,0.46750,0.45842,0.53477,0.51256,0.48060
2016-05-12,0.03783,0.30769,0.34671,0.41534,0.63901,0.55927,0.53773,0.42890,0.66279
2016-05-13,0.00385,0.26520,0.35590,0.38380,0.62500,0.50934,0.54376,0.38790,0.66129
2016-05-16,0.00265,0.25196,0.26649,0.48854,0.43722,0.50592,0.45089,0.50996,0.44690
2016-05-17,-0.00030,0.30855,0.26652,0.29225,0.58851,0.51393,0.38679,0.29856,0.61042
2016-05-18,0.00913,0.35820,0.29590,0.35398,0.66135,0.62500,0.45231,0.37383,0.69747
2016-05-19,0.00554,0.29838,0.36084,0.33035,0.61111,0.48429,0.48853,0.34132,0.63382
2016-05-20,0.00290,0.26506,0.28000,0.44767,0.54901,0.50825,0.52546,0.46525,0.56811
2016-05-23,0.00144,0.23633,0.31459,0.40119,0.64383,0.52755,0.55952,0.42006,0.66197
2016-05-26,-0.00116,0.28468,0.27192,0.45075,0.48115,0.52654,0.44105,0.46393,0.50348
2016-06-01,0.01244,0.33687,0.28771,0.43359,0.57476,0.57512,0.47216,0.44668,0.59999
2016-06-02,0.00771,0.24407,0.22047,0.47685,0.53674,0.60588,0.44210,0.49282,0.55629
2016-06-03,0.00453,0.28753,0.30868,0.37049,0.59430,0.51598,0.48265,0.38698,0.61172
2016-06-07,0.00225,0.23563,0.22455,0.57925,0.43988,0.53315,0.52264,0.59467,0.46012
2016-06-08,0.02281,0.25073,0.25689,0.45721,0.59593,0.58561,0.52162,0.47632,0.62883
2016-06-10,0.00192,0.31414,0.28922,0.37598,0.58029,0.52328,0.47294,0.38742,0.60898
2016-06-13,0.03655,0.26782,0.34917,0.30495,0.63268,0.46107,0.52785,0.32352,0.66666
2016-06-14,0.00212,0.30427,0.30280,0.34839,0.58316,0.49597,0.46935,0.35992,0.60751
2016-06-15,-0.00239,0.28854,0.32065,0.37351,0.54428,0.45762,0.50084,0.39130,0.56840
2016-06-17,0.01140,0.36523,0.31509,0.38039,0.64522,0.59173,0.46556,0.39078,0.66311
2016-06-20,0.00026,0.26962,0.33121,0.43558,0.48598,0.45415,0.50682,0.45708,0.50387
2016-06-22,0.01494,0.39492,0.33452,0.45826,0.51094,0.53030,0.46979,0.46979,0.53030
2016-06-27,-0.00181,0.35964,0.38911,0.20130,0.75399,0.48616,0.50319,0.20882,0.78405
2016-06-28,0.00103,0.36413,0.38248,0.43207,0.55611,0.51968,0.50687,0.44974,0.57638
2016-06-29,0.00129,0.33253,0.34407,0.47848,0.45331,0.47848,0.48457,0.49466,0.46842
2016-07-01,0.00568,0.35360,0.35263,0.37777,0.60798,0.52000,0.49120,0.38908,0.62152
2016-07-05,0.00333,0.35645,0.31057,0.33820,0.65517,0.55555,0.48281,0.34839,0.68577
2016-07-06,0.00486,0.34157,0.31180,0.35702,0.56386,0.49220,0.44653,0.36589,0.57541
2016-07-18,0.00356,0.47972,0.35483,0.61739,0.34736,0.54615,0.44594,0.63392,0.35869
2016-07-21,0.00989,0.34889,0.26647,0.52181,0.40511,0.55064,0.42316,0.53584,0.43778
2016-07-22,0.00527,0.27692,0.27365,0.51745,0.43619,0.53731,0.46078,0.53389,0.46419
2016-07-25,0.00774,0.32151,0.30190,0.48106,0.53829,0.56319,0.50198,0.50297,0.56222
2016-07-26,-0.00025,0.22209,0.31228,0.38979,0.52462,0.45047,0.50090,0.40899,0.54313
2016-07-27,0.01835,0.25864,0.35569,0.37550,0.59430,0.46401,0.53100,0.38796,0.60727
2016-07-28,0.00267,0.28243,0.26736,0.51898,0.47887,0.53711,0.49275,0.53947,0.49038
2016-08-02,0.00437,0.29295,0.30306,0.41351,0.61968,0.56216,0.50639,0.43514,0.63097
2016-08-15,0.01209,0.23274,0.23731,0.62105,0.37005,0.53393,0.51984,0.66106,0.38872
2016-08-16,-0.00120,0.28260,0.40136,0.18571,0.76623,0.43333,0.51754,0.19117,0.77631
2016-08-26,0.00287,0.31548,0.42244,0.39285,0.63327,0.47550,0.58058,0.40540,0.64796
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.00787,0.27712,0.36391,0.54782,0.58646,0.55102,0.61096,0.55917,0.60309
2016-09-02,0.00710,0.24958,0.24266,0.40161,0.55828,0.51916,0.45386,0.40489,0.56874
2016-09-12,0.00681,0.38153,0.31327,0.33848,0.58527,0.54342,0.43328,0.35667,0.62139
2016-09-14,0.01027,0.30679,0.34196,0.31623,0.61567,0.49333,0.46413,0.32685,0.63461
2016-09-16,0.00439,0.25299,0.30999,0.38761,0.57763,0.46814,0.52443,0.40047,0.59235
2016-09-19,0.00391,0.25438,0.30872,0.39726,0.53592,0.44050,0.52371,0.40941,0.55533
2016-09-23,0.00481,0.27649,0.25138,0.55637,0.45959,0.53037,0.51704,0.57178,0.47519
