date,returnOfInvestment,precision_UP,precision_DOWN,recall_UP,recall_DOWN,precisionIgnoreEqual_UP,precisionIgnoreEqual_DOWN,recallIgnoreEqual_UP,recallIgnoreEqual_DOWN
2016-05-11,0.07261,0.31860,0.44227,0.63133,0.44945,0.48324,0.62720,0.64928,0.45940
2016-05-12,0.01833,0.39776,0.39490,0.76156,0.21269,0.50710,0.54385,0.80451,0.22962
2016-05-13,0.03254,0.34893,0.33039,0.68324,0.20833,0.49338,0.43352,0.72701,0.21865
2016-05-16,0.02112,0.42951,0.35211,0.80493,0.14619,0.53442,0.41666,0.82323,0.14970
2016-05-17,-0.00460,0.36557,0.43987,0.81262,0.23842,0.49698,0.63181,0.83569,0.25000
2016-05-18,0.03926,0.43733,0.30555,0.83673,0.15895,0.53858,0.48672,0.84974,0.16369
2016-05-19,-0.03524,0.39130,0.49775,0.83753,0.13389,0.43346,0.54411,0.85096,0.13788
2016-05-20,0.01447,0.36199,0.28282,0.76210,0.23999,0.58481,0.45901,0.78524,0.24633
2016-05-23,0.01200,0.35643,0.46133,0.71208,0.32457,0.49390,0.62681,0.75878,0.34257
2016-05-26,0.03205,0.34259,0.36627,0.77351,0.19444,0.46835,0.53389,0.80144,0.20000
2016-06-01,0.01490,0.38907,0.32475,0.77429,0.17443,0.50106,0.45495,0.79526,0.17750
2016-06-02,0.05477,0.40859,0.32012,0.77596,0.20114,0.56971,0.45258,0.80461,0.20999
2016-06-03,0.03742,0.43750,0.36986,0.77970,0.25312,0.58333,0.52258,0.80976,0.26470
2016-06-07,-0.01147,0.40369,0.36551,0.77863,0.16745,0.49459,0.47111,0.80868,0.17096
2016-06-08,0.03055,0.40771,0.41843,0.81475,0.19633,0.51878,0.54883,0.83670,0.20379
2016-06-10,0.03266,0.41196,0.37628,0.78501,0.24745,0.53854,0.56153,0.80872,0.26118
2016-06-13,0.01701,0.37520,0.39454,0.75540,0.25039,0.50556,0.55594,0.78141,0.26368
2016-06-14,0.01986,0.37541,0.42732,0.72319,0.21713,0.46839,0.50515,0.75838,0.22272
2016-06-15,0.01947,0.38240,0.35853,0.71860,0.22272,0.48085,0.49163,0.74834,0.23149
2016-06-17,0.03519,0.44512,0.33544,0.80332,0.17320,0.54003,0.46288,0.82503,0.17666
2016-06-20,0.01457,0.39339,0.47750,0.83706,0.22115,0.53036,0.61061,0.85620,0.22923
2016-06-22,0.04595,0.37490,0.36501,0.82130,0.15070,0.47943,0.52459,0.84601,0.15609
2016-06-27,0.00343,0.40942,0.34806,0.85996,0.09183,0.48414,0.45000,0.88006,0.09473
2016-06-28,0.00364,0.40813,0.41015,0.82284,0.15306,0.50089,0.51470,0.85022,0.15789
2016-06-29,0.02453,0.45550,0.24916,0.82288,0.13711,0.56343,0.40540,0.84593,0.13812
2016-07-01,0.05411,0.37207,0.48952,0.73190,0.27299,0.48317,0.57186,0.76068,0.28205
2016-07-05,0.02629,0.38331,0.43609,0.75581,0.26646,0.49726,0.58193,0.78448,0.27444
2016-07-06,-0.01846,0.39776,0.39873,0.81748,0.19090,0.51004,0.54782,0.83673,0.19749
2016-07-18,0.00062,0.41150,0.30769,0.88571,0.03883,0.49206,0.33333,0.92079,0.04000
2016-07-21,0.01899,0.36661,0.38435,0.80204,0.16617,0.46396,0.52558,0.82167,0.17225
2016-07-22,0.02437,0.35096,0.33707,0.86106,0.16071,0.50754,0.58823,0.88202,0.16453
2016-07-25,0.00059,0.28306,0.23888,0.75776,0.15114,0.43990,0.45502,0.78038,0.15579
2016-07-26,0.00779,0.38787,0.26506,0.80576,0.16793,0.55660,0.45595,0.83490,0.17221
2016-07-27,0.00753,0.37435,0.31189,0.79402,0.16033,0.50500,0.46634,0.81980,0.16385
2016-07-28,0.01830,0.32510,0.32420,0.82722,0.12283,0.48966,0.45806,0.84946,0.12566
2016-08-02,0.02126,0.37020,0.38056,0.81789,0.14050,0.48030,0.50810,0.84908,0.14506
2016-08-15,0.00719,0.29648,0.35426,0.84551,0.13188,0.45000,0.54861,0.86170,0.13763
2016-08-16,-0.00057,0.40883,0.58823,0.94871,0.10309,0.46250,0.76923,0.96103,0.10416
2016-08-26,0.01428,0.35520,0.34387,0.73735,0.16141,0.46275,0.43069,0.76720,0.16508
2016-08-27,0.00000,0.00000,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2016-09-01,0.02483,0.40095,0.38732,0.76459,0.20912,0.50665,0.50228,0.79356,0.21235
2016-09-02,0.00669,0.37314,0.31372,0.73809,0.15779,0.49691,0.39024,0.76325,0.16393
2016-09-12,-0.00036,0.38776,0.37313,0.86102,0.11829,0.49677,0.48387,0.87075,0.12077
2016-09-14,-0.00378,0.37107,0.42786,0.83828,0.11748,0.44995,0.53086,0.86986,0.12164
2016-09-16,0.00793,0.38496,0.37596,0.80448,0.16220,0.51016,0.50259,0.83946,0.16753
2016-09-19,0.01038,0.38316,0.35779,0.78675,0.20454,0.52478,0.48953,0.79967,0.20967
2016-09-23,-0.00231,0.35348,0.38955,0.83243,0.15085,0.46432,0.54189,0.84926,0.15396
